Strategy,Category,Moneyness,Expiry,Total_Costs_EUR,Final_PnL_EUR,PnL_Volatility,Num_Trades,Trade_Freq_Pct,Delta_Tracking_Error,Ticks
Custom_Adaptive,Lungo_Termine,OTM,2025-06-30,19.15993272528294,19.165977542042583,0.3181612839151384,30,0.1953125,0.014077181109202138,15360
Whalley,Lungo_Termine,OTM,2025-06-30,21.262570379982705,3.861018995903123,0.28367576077626444,570,3.7109375,0.012376361783047279,15360
Custom_Adaptive,Lungo_Termine,OTM,2025-07-18,56.301525429364276,-93.9999393635203,0.45967180330164875,156,0.17923411882302928,0.019104161314562773,87037
Whalley,Lungo_Termine,OTM,2025-07-18,65.85736836458922,-158.54338930279187,0.4261318261954824,3657,4.201661362409091,0.010402217249002392,87037
Custom_Adaptive,Lungo_Termine,OTM,2025-07-31,24.174162063091647,22.151472873995317,0.3184967799015942,48,0.1644736842105263,0.013162631313884893,29184
Whalley,Lungo_Termine,OTM,2025-07-31,22.31406072316399,14.940987244358894,0.3050081956739812,839,2.874862938596491,0.01102100190201878,29184
Custom_Adaptive,Lungo_Termine,OTM,2025-08-15,61.4227247535741,-101.72234421443363,0.4692545096371796,167,0.18120856346097505,0.0191310583749489,92159
Whalley,Lungo_Termine,OTM,2025-08-15,66.69615218812248,-151.620326301987,0.4398828184414606,3807,4.130904198179234,0.010292492694281216,92159
Custom_Adaptive,Lungo_Termine,OTM,2025-08-29,27.891559048075994,-0.23463277399559956,0.32598663811000633,52,0.17212843429328037,0.016107581003104908,30210
Whalley,Lungo_Termine,OTM,2025-08-29,24.34369267877848,10.900734765987181,0.32424766365702845,1086,3.594836146971202,0.011168711905614661,30210
Custom_Adaptive,Lungo_Termine,OTM,2025-09-19,61.51466691959334,-95.09334367732072,0.42130154115855173,185,0.16574833131747527,0.016653245286306066,111615
Whalley,Lungo_Termine,OTM,2025-09-19,65.15321102797239,-140.2020220882382,0.404371533307879,4335,3.8838865743851634,0.009802119952898381,111615
Custom_Adaptive,Lungo_Termine,OTM,2025-09-30,25.199986425275306,-6.567278222951245,0.17177517584384955,53,0.16968687968239737,0.014667832853290335,31234
Whalley,Lungo_Termine,OTM,2025-09-30,21.923771793133938,2.7227736998656837,0.17171271353665632,1275,4.082090030095409,0.011063997940475512,31234
Custom_Adaptive,Lungo_Termine,OTM,2025-10-17,58.84791794663188,-97.04330826010323,0.4091665886962853,185,0.16498853998519564,0.015145418758122269,112129
Whalley,Lungo_Termine,OTM,2025-10-17,57.65788337206815,-111.80646418798324,0.39271819560129584,4237,3.7786834806339127,0.00936863465932747,112129
Custom_Adaptive,Medio_Termine,ATM,2025-02-21,29.827979893769992,-21.704812466321528,0.3077048863712587,66,0.18155809859154928,0.028277011099686736,36352
Whalley,Medio_Termine,ATM,2025-02-21,32.92731127494338,-42.52709310588534,0.28777636007918284,1793,4.932328345070423,0.01354288970838862,36352
Custom_Adaptive,Medio_Termine,ATM,2025-02-28,11.819656579056334,-11.297225163749317,0.23262499155003383,20,0.18601190476190474,0.006646762031288203,10752
Whalley,Medio_Termine,ATM,2025-02-28,11.984435276146646,-13.358571141904577,0.2297005852626595,559,5.199032738095238,0.007289946683244235,10752
Custom_Adaptive,Medio_Termine,ATM,2025-03-21,28.776627676206303,-29.699388265511516,0.35561332450352884,83,0.17814217032967034,0.021927606673784693,46592
Whalley,Medio_Termine,ATM,2025-03-21,31.502734069737937,-52.30272847070182,0.3424621536637891,2193,4.7068166208791204,0.010984081782858307,46592
Custom_Adaptive,Medio_Termine,ATM,2025-03-31,12.415427786759818,-0.11128714881397173,0.1182381937571551,15,0.16276041666666669,0.008340593405774902,9216
Whalley,Medio_Termine,ATM,2025-03-31,13.538837270609648,-4.981327882215737,0.10830125479757181,552,5.989583333333334,0.005203094522068979,9216
Custom_Adaptive,Medio_Termine,ATM,2025-04-17,42.08012754942163,-88.15659458236428,0.48938706741928784,108,0.1900505041617541,0.025759527726280266,56827
Whalley,Medio_Termine,ATM,2025-04-17,66.64886540401196,-190.45946226162778,0.4147187229551217,2941,5.175356784627025,0.010296678959546729,56827
Custom_Adaptive,Medio_Termine,ATM,2025-04-30,24.805749814167815,-77.72684446943458,1.1455856881116937,19,0.21831552338274157,0.0441015132778304,8703
Whalley,Medio_Termine,ATM,2025-04-30,34.40125486373095,-122.97966898553841,1.16591197303674,596,6.848213259795473,0.012449819900491571,8703
Custom_Adaptive,Medio_Termine,ITM,2025-02-21,24.165267379692416,-8.191063806534657,0.2708718573048783,64,0.17605633802816903,0.023494032379181542,36352
Whalley,Medio_Termine,ITM,2025-02-21,25.31509254662351,-27.19009587808023,0.2574418811868179,1658,4.560959507042254,0.009553821221901876,36352
Custom_Adaptive,Medio_Termine,ITM,2025-02-28,11.246192514579592,-4.659272859048542,0.0615562391985995,18,0.16741071428571427,0.0034325319455661366,10752
Whalley,Medio_Termine,ITM,2025-02-28,10.864966582386575,-5.084807361226012,0.059351378538635965,552,5.133928571428571,0.004626891642244478,10752
Custom_Adaptive,Medio_Termine,ITM,2025-03-21,24.836488048152134,-22.412664845905965,0.2504649470419464,84,0.18028846153846154,0.01870692341184123,46592
Whalley,Medio_Termine,ITM,2025-03-21,24.948292614182936,-40.28025398198861,0.23913059698846945,2014,4.3226304945054945,0.008444310472399652,46592
Custom_Adaptive,Medio_Termine,ITM,2025-03-31,12.12470444389709,-2.862672727372228,0.1037852928982494,15,0.16276041666666669,0.004650894289293114,9216
Whalley,Medio_Termine,ITM,2025-03-31,12.528285684570426,-5.216324642790823,0.0998585508820208,848,9.20138888888889,0.0032869784437458225,9216
Custom_Adaptive,Medio_Termine,ITM,2025-04-17,36.837471860518264,-52.84725796758539,0.3988338419019684,107,0.18829077727136748,0.021507495692132342,56827
Whalley,Medio_Termine,ITM,2025-04-17,53.28206321950282,-138.22650738324091,0.34241850560161474,2622,4.614003906593696,0.008252727435872922,56827
Custom_Adaptive,Medio_Termine,ITM,2025-04-30,21.569910784519188,-49.05972239651692,0.9566488781150385,20,0.2298058140870964,0.02880965482799792,8703
Whalley,Medio_Termine,ITM,2025-04-30,27.897195311035517,-85.07367413160955,0.9663851910135227,559,6.423072503734345,0.008369524098242128,8703
Custom_Adaptive,Medio_Termine,OTM,2025-02-21,31.791478306962237,-46.40743385208958,0.2502458163765053,61,0.1678036971830986,0.027597413042987913,36352
Whalley,Medio_Termine,OTM,2025-02-21,33.93547163439095,-59.50150164066514,0.24241497045360622,1691,4.651738556338028,0.015030986622774432,36352
Custom_Adaptive,Medio_Termine,OTM,2025-02-28,15.116838384353782,-28.39534540672186,0.245105429972639,20,0.18601190476190474,0.018604539757623627,10752
Whalley,Medio_Termine,OTM,2025-02-28,15.382724927337826,-32.083642582865664,0.24467986242895487,508,4.7247023809523805,0.013805454713086798,10752
Custom_Adaptive,Medio_Termine,OTM,2025-03-21,38.039751001017535,-60.622681341518046,0.35301659368029725,82,0.17599587912087913,0.02348714210472384,46592
Whalley,Medio_Termine,OTM,2025-03-21,39.138294033081756,-73.71809180006562,0.343794682776172,2074,4.451407967032967,0.012414403414604657,46592
Custom_Adaptive,Medio_Termine,OTM,2025-03-31,14.115878331618767,9.916436587587668,0.3732765144061324,16,0.1736111111111111,0.02194584275029093,9216
Whalley,Medio_Termine,OTM,2025-03-31,17.376590268236363,0.6838319278404015,0.3467834847940189,577,6.260850694444445,0.009618280887837059,9216
Custom_Adaptive,Medio_Termine,OTM,2025-04-17,47.89953387303852,-126.37144760163488,0.501151178115664,103,0.18125186970982102,0.025885417195913935,56827
Whalley,Medio_Termine,OTM,2025-04-17,61.92117675032836,-180.61585928159928,0.4637076062018717,2831,4.981786826684498,0.011722187566519259,56827
Custom_Adaptive,Medio_Termine,OTM,2025-04-30,27.898613020640127,-122.89167223719369,1.227882895183082,19,0.21831552338274157,0.05005582210492432,8703
Whalley,Medio_Termine,OTM,2025-04-30,35.66689532719855,-153.53502005765085,1.2554423846317824,595,6.8367229690911175,0.014814274477048686,8703
